File Name:,G:\MicroPEM\Problem_raw_file\UGF320406N_KHC1861raw.csv
Download Date:,05/18/2016
Total Download Time (s):,5.6

Device Serial #:,UGF320406N
Date/Time Hardware:,2/15/2013
Date/Time Software:,1/7/2015,v2.0.5485.32893
Participant ID#:,
Filter ID#:,KHC1861
Participant Weight (kg),NA
Inlet Aerosol Size:,PM2.5
Laser Cycling Variables:Delay - Sampling time - Off time,1,1,8
System Times,30,30
Sensor,Slope,Offset,Log Interval,High Target (ref only),Low target (ref only)
Nephelometer,3.0000,70,10
Temperature,1.0000,54,30
Humidity,1.0000,-2,10
Inlet Pressure,4095.0000,0,30,1280,768
Orifice Pressure,4095.0000,0,30,1558,1181
Flow,,,30,900,200,0.4
Accelerometer,,,5
Battery,,,60
Ventilation,NA,NA

Date,Time,RH-Corrected Nephelometer,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation
Date,Time,μg/m³,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid


10/20/2015,12:20:30,15,,60.8,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:21:00,,,,,,,,0.19,0.48,0.97,1.10,,,
10/20/2015,12:21:05,,,,,,,,0.20,0.49,0.97,1.11,,,
10/20/2015,12:21:10,12,29.3,60.9,4.3,0.65,0.66,0.40,0.21,0.49,0.99,1.12,,,
10/20/2015,12:21:15,,,,,,,,0.20,0.48,0.99,1.12,,,
10/20/2015,12:21:20,10,,59.5,,,,,0.20,0.49,0.98,1.11,,,
10/20/2015,12:21:25,,,,,,,,0.19,0.48,0.98,1.11,,,
10/20/2015,12:21:30,19,,60.8,,,,,0.20,0.48,0.98,1.11,,,
10/20/2015,12:22:00,,,,,,,,0.19,0.48,0.98,1.11,,,
10/20/2015,12:22:05,,,,,,,,0.19,0.47,0.97,1.09,,,
10/20/2015,12:22:10,34,29.3,60.7,4.3,0.66,0.66,0.40,0.20,0.50,0.99,1.13,,,
10/20/2015,12:22:15,,,,,,,,0.20,0.49,0.99,1.12,,,
10/20/2015,12:22:20,32,,60.4,,,,,0.20,0.50,0.99,1.13,,,
10/20/2015,12:22:25,,,,,,,,0.20,0.48,0.98,1.11,,,
10/20/2015,12:22:30,29,,60.3,,,,,0.20,0.49,0.98,1.12,,,
10/20/2015,12:23:00,,,,,,,,0.20,0.48,0.98,1.11,,,
10/20/2015,12:23:05,,,,,,,,0.20,0.49,0.97,1.11,,,
10/20/2015,12:23:10,37,29.4,60.6,4.4,0.65,0.65,0.41,0.20,0.48,0.99,1.12,,,
10/20/2015,12:23:15,,,,,,,,0.19,0.48,0.98,1.11,,,
